brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
103378.0,for_sale,105000.0,3.0,2.0,0.12,1962661.0,Adjuntas,Puerto Rico,601.0,920.0,
52707.0,for_sale,80000.0,4.0,2.0,0.08,1902874.0,Adjuntas,Puerto Rico,601.0,1527.0,
103379.0,for_sale,67000.0,2.0,1.0,0.15,1404990.0,Juana Diaz,Puerto Rico,795.0,748.0,
31239.0,for_sale,145000.0,4.0,2.0,0.1,1947675.0,Ponce,Puerto Rico,731.0,1800.0,
103378.0,for_sale,179000.0,4.0,3.0,0.46,1850806.0,San Sebastian,Puerto Rico,612.0,2520.0,
1205.0,for_sale,50000.0,3.0,1.0,0.2,1298094.0,Ciales,Puerto Rico,639.0,2040.0,
50739.0,for_sale,71600.0,3.0,2.0,0.08,1048466.0,Ponce,Puerto Rico,731.0,1050.0,
81909.0,for_sale,100000.0,2.0,1.0,0.09,734904.0,Ponce,Puerto Rico,730.0,1092.0,
65672.0,for_sale,300000.0,5.0,3.0,7.46,1946226.0,Las Marias,Puerto Rico,670.0,5403.0,
52707.0,for_sale,89000.0,3.0,2.0,13.39,1902814.0,Isabela,Puerto Rico,662.0,1106.0,
52707.0,for_sale,150000.0,3.0,2.0,0.08,1773902.0,Juana Diaz,Puerto Rico,795.0,1045.0,
46019.0,for_sale,155000.0,3.0,2.0,0.1,1946165.0,Lares,Puerto Rico,669.0,4161.0,
52707.0,for_sale,79000.0,5.0,2.0,0.12,1761024.0,Utuado,Puerto Rico,641.0,1620.0,
88441.0,for_sale,649000.0,5.0,5.0,0.74,1879215.0,Ponce,Puerto Rico,731.0,2677.0,
50739.0,for_sale,120000.0,3.0,2.0,0.08,17854.0,Yauco,Puerto Rico,698.0,1100.0,
51202.0,for_sale,235000.0,4.0,4.0,0.22,13687.0,Mayaguez,Puerto Rico,680.0,3450.0,
12876.0,for_sale,105000.0,3.0,2.0,0.08,1868721.0,Ponce,Puerto Rico,728.0,1500.0,
109906.0,for_sale,575000.0,3.0,2.0,3.88,1312671.0,San Sebastian,Puerto Rico,685.0,4000.0,
